"p","a","b","x"
-1.9,-2,-0.1,-0.05581989134638227
-1.9,2,-0.1,-0.04994068442979095
-1.9,0,-0.1,-0.052555179017781416
-1.9,-2,0.1,0.04994068442979095
-1.9,2,0.1,0.05581989134638227
-1.9,0,0.1,0.052555179017781416
-1.9,-2,0,0
-1.9,2,0,0
-1.9,0,0,0
-1.89,-2,-0.1,-0.056153053412452664
-1.89,2,-0.1,-0.050178751512403655
-1.89,0,-0.1,-0.052832028578739074
-1.89,-2,0.1,0.050178751512403655
-1.89,2,0.1,0.056153053412452664
-1.89,0,0.1,0.052832028578739074
-1.89,-2,0,0
-1.89,2,0,0
-1.89,0,0,0
-1.88,-2,-0.1,-0.05649046514771132
-1.88,2,-0.1,-0.050418980840631705
-1.88,0,-0.1,-0.05311179728489375
-1.88,-2,0.1,0.050418980840631705
-1.88,2,0.1,0.05649046514771132
-1.88,0,0.1,0.05311179728489375
-1.88,-2,0,0
-1.88,2,0,0
-1.88,0,0,0
-1.87,-2,-0.1,-0.056832213102576704
-1.87,2,-0.1,-0.05066140033324111
-1.87,0,-0.1,-0.05339453126975738
-1.87,-2,0.1,0.05066140033324111
-1.87,2,0.1,0.056832213102576704
-1.87,0,0.1,0.05339453126975738
-1.87,-2,0,0
-1.87,2,0,0
-1.87,0,0,0
-1.8599999999999999,-2,-0.1,-0.0571783863141951
-1.8599999999999999,2,-0.1,-0.050906038360039624
-1.8599999999999999,0,-0.1,-0.05368027763650083
-1.8599999999999999,-2,0.1,0.050906038360039624
-1.8599999999999999,2,0.1,0.0571783863141951
-1.8599999999999999,0,0.1,0.05368027763650083
-1.8599999999999999,-2,0,0
-1.8599999999999999,2,0,0
-1.8599999999999999,0,0,0
-1.85,-2,-0.1,-0.05752907640028783
-1.85,2,-0.1,-0.051152923750265644
-1.85,0,-0.1,-0.05396908448331616
-1.85,-2,0.1,0.051152923750265644
-1.85,2,0.1,0.05752907640028783
-1.85,0,0.1,0.05396908448331616
-1.85,-2,0,0
-1.85,2,0,0
-1.85,0,0,0
-1.84,-2,-0.1,-0.05788437765743504
-1.84,2,-0.1,-0.05140208580114315
-1.84,0,-0.1,-0.054261000929569425
-1.84,-2,0.1,0.05140208580114315
-1.84,2,0.1,0.05788437765743504
-1.84,0,0.1,0.054261000929569425
-1.84,-2,0,0
-1.84,2,0,0
-1.84,0,0,0
-1.83,-2,-0.1,-0.05824438716404964
-1.83,2,-0.1,-0.05165355428660538
-1.83,0,-0.1,-0.054556077142772726
-1.83,-2,0.1,0.05165355428660538
-1.83,2,0.1,0.05824438716404964
-1.83,0,0.1,0.054556077142772726
-1.83,-2,0,0
-1.83,2,0,0
-1.83,0,0,0
-1.82,-2,-0.1,-0.058609204888312824
-1.82,2,-0.1,-0.051907359466190545
-1.82,0,-0.1,-0.054854364366404965
-1.82,-2,0.1,0.051907359466190545
-1.82,2,0.1,0.058609204888312824
-1.82,0,0.1,0.054854364366404965
-1.82,-2,0,0
-1.82,2,0,0
-1.82,0,0,0
-1.81,-2,-0.1,-0.05897893380136042
-1.81,2,-0.1,-0.05216353209411265
-1.81,0,-0.1,-0.05515591494861237
-1.81,-2,0.1,0.05216353209411265
-1.81,2,0.1,0.05897893380136042
-1.81,0,0.1,0.05515591494861237
-1.81,-2,0,0
-1.81,2,0,0
-1.81,0,0,0
-1.8,-2,-0.1,-0.05935367999602971
-1.8,2,-0.1,-0.05242210342851046
-1.8,0,-0.1,-0.055460782371820665
-1.8,-2,0.1,0.05242210342851046
-1.8,2,0.1,0.05935367999602971
-1.8,0,0.1,0.055460782371820665
-1.8,-2,0,0
-1.8,2,0,0
-1.8,0,0,0
-1.79,-2,-0.1,-0.059733552811497906
-1.79,2,-0.1,-0.05268310524087805
-1.79,0,-0.1,-0.05576902128329253
-1.79,-2,0.1,0.05268310524087805
-1.79,2,0.1,0.059733552811497906
-1.79,0,0.1,0.05576902128329253
